date,title,index
,,3673610
"
, 03 nov, 2014 15h29 
 ,
, 03 nov, 2014 15h29 
",Leilao de CTKA4 ate as 15:34:25 - oscilacao maxima permitida,3673608
"
, 03 nov, 2014 15h29 
 ,
, 03 nov, 2014 15h29 
",(BPAN4)- LEILAO DE BANCO PAN PN N1 ATE 16:25HS,3673607
"
, 03 nov, 2014 15h45 
 ,
, 03 nov, 2014 15h45 
","Balança tem pior outubro desde 1998, com déficit de US$ 1,177 bilhão no mês",3673611
"
, 03 nov, 2014 15h30 
 ,
, 03 nov, 2014 15h30 
",Leilao de TEKA4 prorrogado ate as 15:31:01,3673609
"
, 03 nov, 2014 15h31 
 ,
, 03 nov, 2014 15h31 
",Leilao de TEKA4 prorrogado ate as 15:32:01,3673613
"
, 03 nov, 2014 15h31 
 ,
, 03 nov, 2014 15h31 
",(CTKA4)- ALTERADO HORARIO DO LEILAO DE KARSTEN PN ATE 15:44HS,3673614
"
, 03 nov, 2014 15h19 
 ,
, 03 nov, 2014 15h19 
","1.41.1.2014.11.03.66.EC - Balança tem déficit de US$ 1,177 bilhão em outubro",3673612
"
, 03 nov, 2014 15h32 
 ,
, 03 nov, 2014 15h32 
",03:11-OFERTAS DISPONIVEIS NO BANCO DE TITULOS CBLC-BTC-10 15:30,3673616
"
, 03 nov, 2014 15h32 
 ,
, 03 nov, 2014 15h32 
",03:11-OFERTAS DISPONIVEIS NO BANCO DE TITULOS CBLC-BTC-2 15:30,3673618
"
, 03 nov, 2014 15h32 
 ,
, 03 nov, 2014 15h32 
",03:11-OFERTAS DISPONIVEIS NO BANCO DE TITULOS CBLC-BTC-4 15:30,3673620
"
, 03 nov, 2014 15h32 
 ,
, 03 nov, 2014 15h32 
",03:11-OFERTAS DISPONIVEIS NO BANCO DE TITULOS CBLC-BTC-11 15:30,3673617
,,3673626
"
, 03 nov, 2014 15h32 
 ,
, 03 nov, 2014 15h32 
",03:11-OFERTAS DISPONIVEIS NO BANCO DE TITULOS CBLC-BTC-3 15:30,3673619
"
, 03 nov, 2014 15h33 
 ,
, 03 nov, 2014 15h33 
",03:11-OFERTAS DISPONIVEIS NO BANCO DE TITULOS CBLC-BTC-7 15:30,3673623
"
, 03 nov, 2014 15h32 
 ,
, 03 nov, 2014 15h32 
",03:11-OFERTAS DISPONIVEIS NO BANCO DE TITULOS CBLC-BTC-1 15:30,3673615
"
, 03 nov, 2014 15h32 
 ,
, 03 nov, 2014 15h32 
",03:11-OFERTAS DISPONIVEIS NO BANCO DE TITULOS CBLC-BTC-5 15:30,3673621
"
, 03 nov, 2014 15h33 
 ,
, 03 nov, 2014 15h33 
",03:11-OFERTAS DISPONIVEIS NO BANCO DE TITULOS CBLC-BTC-6 15:30,3673622
"
, 03 nov, 2014 15h33 
 ,
, 03 nov, 2014 15h33 
",03:11-OFERTAS DISPONIVEIS NO BANCO DE TITULOS CBLC-BTC-8 15:30,3673624
,,3673631
"
, 03 nov, 2014 15h33 
 ,
, 03 nov, 2014 15h33 
",03:11-OFERTAS DISPONIVEIS NO BANCO DE TITULOS CBLC-BTC-9 15:30,3673625
"
, 06 nov, 2014 11h00 
 ,
, 06 nov, 2014 11h00 
",Analistas divulgam carteira quantitativa para investir em novembro,3673628
"
, 03 nov, 2014 15h29 
 ,
, 03 nov, 2014 15h29 
","1.41.1.2014.11.03.67.EC - Média de exportação recua 19,7% em outubro na base anual",3673632
"
, 03 nov, 2014 15h40 
 ,
, 03 nov, 2014 15h40 
",ATENCAO PARA O PRECO DE ESTCL60,3673630
"
, 03 nov, 2014 15h41 
 ,
, 03 nov, 2014 15h41 
",ATENCAO PARA O PRECO DE ESTCL60,3673633
"
, 03 nov, 2014 15h29 
 - Atualizada em 15h30  ,
, 03 nov, 2014 15h30 
",MSDURNXTTQA3 - Alemanha se vira contra o carvão e se expõe à maior dependência da Rússia,3673627
"
, 03 nov, 2014 15h40 
 ,
, 03 nov, 2014 15h40 
",Leilao de ESTCL60 ate 15:44H - Oscilacao Maxima Permitida,3673629
"
, 03 nov, 2014 15h42 
 ,
, 03 nov, 2014 15h42 
",Leilao de VLOL11 ate as 15:47:03 - oscilacao maxima permitida,3673635
"
, 03 nov, 2014 15h42 
 ,
, 03 nov, 2014 15h42 
",ATENCAO PARA O PRECO DE ESTCL60,3673634
"
, 03 nov, 2014 15h46 
 ,
, 03 nov, 2014 15h46 
",03:11-OFERTAS DISPONIVEIS NO BANCO DE TITULOS CBLC-BTC-2 15:45,3673639
"
, 03 nov, 2014 15h43 
 ,
, 03 nov, 2014 15h43 
",ATENCAO PARA O PRECO DE ESTCL60,3673636
"
, 03 nov, 2014 15h46 
 ,
, 03 nov, 2014 15h46 
",03:11-OFERTAS DISPONIVEIS NO BANCO DE TITULOS CBLC-BTC-3 15:45,3673640
"
, 03 nov, 2014 15h44 
 ,
, 03 nov, 2014 15h44 
",Leilao de ABEVK46 ate as 15:45:57 - oscilacao maxima permitida,3673637
"
, 03 nov, 2014 15h46 
 ,
, 03 nov, 2014 15h46 
",03:11-OFERTAS DISPONIVEIS NO BANCO DE TITULOS CBLC-BTC-1 15:45,3673638
"
, 03 nov, 2014 15h46 
 ,
, 03 nov, 2014 15h46 
",03:11-OFERTAS DISPONIVEIS NO BANCO DE TITULOS CBLC-BTC-4 15:45,3673641
"
, 03 nov, 2014 15h47 
 ,
, 03 nov, 2014 15h47 
",03:11-OFERTAS DISPONIVEIS NO BANCO DE TITULOS CBLC-BTC-11 15:45,3673643
"
, 03 nov, 2014 15h47 
 ,
, 03 nov, 2014 15h47 
",03:11-OFERTAS DISPONIVEIS NO BANCO DE TITULOS CBLC-BTC-6 15:45,3673645
,,3673653
"
, 03 nov, 2014 15h47 
 ,
, 03 nov, 2014 15h47 
",03:11-OFERTAS DISPONIVEIS NO BANCO DE TITULOS CBLC-BTC-8 15:45,3673647
"
, 03 nov, 2014 15h47 
 ,
, 03 nov, 2014 15h47 
",03:11-OFERTAS DISPONIVEIS NO BANCO DE TITULOS CBLC-BTC-5 15:45,3673644
"
, 03 nov, 2014 16h40 
 ,
, 03 nov, 2014 16h40 
","Importação de combustíveis e lubrificantes recua 36,2%",3673651
"
, 03 nov, 2014 15h47 
 ,
, 03 nov, 2014 15h47 
",03:11-OFERTAS DISPONIVEIS NO BANCO DE TITULOS CBLC-BTC-10 15:45,3673642
"
, 03 nov, 2014 15h47 
 ,
, 03 nov, 2014 15h47 
",03:11-OFERTAS DISPONIVEIS NO BANCO DE TITULOS CBLC-BTC-7 15:45,3673646
,,3673658
"
, 03 nov, 2014 15h51 
 ,
, 03 nov, 2014 15h51 
",Leilao de IBOVF67 ate as 15:52:40 - oscilacao maxima permitida,3673650
"
, 03 nov, 2014 15h47 
 ,
, 03 nov, 2014 15h47 
",03:11-OFERTAS DISPONIVEIS NO BANCO DE TITULOS CBLC-BTC-9 15:45,3673648
"
, 03 nov, 2014 15h50 
 ,
, 03 nov, 2014 15h50 
",Leilao de FJTA3F ate as 15:54:30 - oscilacao maxima permitida,3673649
"
, 03 nov, 2014 16h12 
 ,
, 03 nov, 2014 16h12 
","World Trade Center reabre nos EUA, 13 anos depois do ""11 de Setembro""",3673656
"
, 03 nov, 2014 15h42 
 ,
, 03 nov, 2014 15h42 
","1.41.1.2014.11.03.69.EC - Importação de combustíveis e lubrificantes recua 36,2%",3673652
"
, 03 nov, 2014 15h51 
 ,
, 03 nov, 2014 15h51 
",Leilao de BTTL3 ate as 15:56:05 - oscilacao maxima permitida,3673655
"
, 03 nov, 2014 15h45 
 ,
, 03 nov, 2014 15h45 
","1.41.1.2014.11.03.68.EC - Exportação de celulose cresce 19,4% em outubro ante 2013",3673654
"
, 03 nov, 2014 15h52 
 ,
, 03 nov, 2014 15h52 
",Leilao de ITUBJ91 ate as 15:54:00 - oscilacao maxima permitida,3673657
"
, 03 nov, 2014 15h50 
 - Atualizada em 15h51  ,
, 03 nov, 2014 15h51 
","KBN0IN1Q2 - Brasil exporta volume recorde de café em outubro, aponta Secex",3673659
"
, 03 nov, 2014 15h56 
 ,
, 03 nov, 2014 15h56 
",Leilao de HRTP11F ate as 16:01:11 - oscilacao maxima permitida,3673662
"
, 03 nov, 2014 16h30 
 ,
, 03 nov, 2014 16h30 
","As 8 ""small caps"" que driblam a forte queda na Bolsa hoje; confira",3673663
"
, 03 nov, 2014 15h56 
 ,
, 03 nov, 2014 15h56 
",(BPAN4)- LEILAO DE BANCO PAN PN N1 ATE 16:25HS,3673661
"
, 03 nov, 2014 15h56 
 ,
, 03 nov, 2014 15h56 
",Leilao de ABEVL17 ate as 15:57:57 - oscilacao maxima permitida,3673660
"
, 03 nov, 2014 16h02 
 ,
, 03 nov, 2014 16h02 
",03:11-OFERTAS DISPONIVEIS NO BANCO DE TITULOS CBLC-BTC-11 16:01,3673667
"
, 03 nov, 2014 16h00 
 ,
, 03 nov, 2014 16h00 
","(HRTP11F)- ALTERADO HORARIO DO LEILAO DE HRT PETROLEODM   20,00 ATE 16:11HS",3673664
"
, 03 nov, 2014 16h02 
 ,
, 03 nov, 2014 16h02 
",03:11-OFERTAS DISPONIVEIS NO BANCO DE TITULOS CBLC-BTC-10 16:00,3673666
"
, 03 nov, 2014 16h02 
 ,
, 03 nov, 2014 16h02 
",03:11-OFERTAS DISPONIVEIS NO BANCO DE TITULOS CBLC-BTC-2 16:00,3673668
"
, 03 nov, 2014 16h02 
 ,
, 03 nov, 2014 16h02 
",03:11-OFERTAS DISPONIVEIS NO BANCO DE TITULOS CBLC-BTC-1 16:00,3673665
"
, 03 nov, 2014 16h03 
 ,
, 03 nov, 2014 16h03 
",03:11-OFERTAS DISPONIVEIS NO BANCO DE TITULOS CBLC-BTC-3 16:00,3673669
"
, 03 nov, 2014 16h03 
 ,
, 03 nov, 2014 16h03 
",03:11-OFERTAS DISPONIVEIS NO BANCO DE TITULOS CBLC-BTC-4 16:00,3673670
"
, 03 nov, 2014 16h03 
 ,
, 03 nov, 2014 16h03 
",03:11-OFERTAS DISPONIVEIS NO BANCO DE TITULOS CBLC-BTC-5 16:00,3673671
