date,title,index
"
, 11 mar, 2014 15h40 
 ,
, 11 mar, 2014 15h40 
",(SNSY5)- ATENCAO:NOVO PRECO-BASE PARA O LIMITE ESTATICO - R$ 0.79,3233058
"
, 11 mar, 2014 15h45 
 ,
, 11 mar, 2014 15h45 
",Leilao de HTMX11B prorrogado ate as 15:48:41,3233065
"
, 11 mar, 2014 15h43 
 ,
, 11 mar, 2014 15h43 
",Leilao de RBPR11 ate as 15:48:20 - oscilacao maxima permitida,3233063
"
, 11 mar, 2014 15h42 
 ,
, 11 mar, 2014 15h42 
",Leilao de HTMX11B ate as 15:46:41 - oscilacao maxima permitida,3233061
"
, 11 mar, 2014 15h42 
 ,
, 11 mar, 2014 15h42 
",Leilao de HAGA3 ate as 15:46:46 - quantidade excedida,3233062
"
, 11 mar, 2014 15h41 
 ,
, 11 mar, 2014 15h41 
",Leilao de ALMI11B ate as 15:45:48 - oscilacao maxima permitida,3233059
"
, 11 mar, 2014 15h39 
 ,
, 11 mar, 2014 15h39 
",Leilao de TEKA4 prorrogado ate as 15:41:14,3233057
"
, 11 mar, 2014 15h41 
 ,
, 11 mar, 2014 15h41 
",Leilao de TEKA4 ate as 15:46:15 - oscilacao maxima permitida,3233060
"
, 11 mar, 2014 15h40 
 ,
, 11 mar, 2014 15h40 
",Ambev e mais duas empresas têm as ações mais indicadas pelos analistas; entenda,3233056
"
, 11 mar, 2014 15h46 
 ,
, 11 mar, 2014 15h46 
",Leilao de RNDP11 ate as 15:51:21 - oscilacao maxima permitida,3233069
"
, 11 mar, 2014 15h45 
 ,
, 11 mar, 2014 15h45 
",Leilao de ALMI11B prorrogado ate as 15:47:48,3233066
"
, 11 mar, 2014 15h47 
 ,
, 11 mar, 2014 15h47 
",Leilao de BVMFD10 prorrogado ate as 15:48:26,3233070
"
, 11 mar, 2014 15h44 
 ,
, 11 mar, 2014 15h44 
",Leilao de VLOL11 ate as 15:48:34 - oscilacao maxima permitida,3233064
"
, 11 mar, 2014 16h15 
 ,
, 11 mar, 2014 16h15 
",Ações da Alemanha superam as da Europa após melhores dados de comércio,3233071
"
, 11 mar, 2014 15h45 
 ,
, 11 mar, 2014 15h45 
",(HAGA3)- ALTERADO O HORARIO DO LEILAO DE HAGA S/A    ON ATE 16:42HS,3233067
"
, 11 mar, 2014 15h45 
 ,
, 11 mar, 2014 15h45 
",Leilao de BVMFD10 ate as 15:47:26 - oscilacao maxima permitida,3233068
"
, 11 mar, 2014 15h47 
 ,
, 11 mar, 2014 15h47 
",Leilao de TEKA4 ate as 15:51:40 - oscilacao maxima permitida,3233073
"
, 11 mar, 2014 15h38 
 - Atualizada em 15h39  ,
, 11 mar, 2014 15h39 
",SPEA2A05A - Ações da Alemanha superam as da Europa após melhores dados de comércio,3233072
"
, 11 mar, 2014 15h47 
 ,
, 11 mar, 2014 15h47 
",11:03-OFERTAS DISPONIVEIS NO BANCO DE TITULOS CBLC-BTC-1 15:45,3233074
"
, 11 mar, 2014 15h47 
 ,
, 11 mar, 2014 15h47 
",11:03-OFERTAS DISPONIVEIS NO BANCO DE TITULOS CBLC-BTC-10 15:45,3233075
"
, 11 mar, 2014 15h47 
 ,
, 11 mar, 2014 15h47 
",11:03-OFERTAS DISPONIVEIS NO BANCO DE TITULOS CBLC-BTC-11 15:45,3233076
"
, 11 mar, 2014 15h47 
 ,
, 11 mar, 2014 15h47 
",(TECN3)- ALTERADO HORARIO DO LEILAO DE TECHNOS ON NM ATE 16:46HS,3233081
"
, 11 mar, 2014 15h47 
 ,
, 11 mar, 2014 15h47 
",11:03-OFERTAS DISPONIVEIS NO BANCO DE TITULOS CBLC-BTC-2 15:45,3233080
"
, 11 mar, 2014 15h47 
 ,
, 11 mar, 2014 15h47 
",11:03-OFERTAS DISPONIVEIS NO BANCO DE TITULOS CBLC-BTC-13 15:46,3233078
"
, 11 mar, 2014 15h47 
 ,
, 11 mar, 2014 15h47 
",11:03-OFERTAS DISPONIVEIS NO BANCO DE TITULOS CBLC-BTC-12 15:45,3233077
"
, 11 mar, 2014 15h48 
 ,
, 11 mar, 2014 15h48 
",11:03-OFERTAS DISPONIVEIS NO BANCO DE TITULOS CBLC-BTC-3 15:45,3233082
"
, 11 mar, 2014 15h47 
 ,
, 11 mar, 2014 15h47 
",11:03-OFERTAS DISPONIVEIS NO BANCO DE TITULOS CBLC-BTC-14 15:46,3233079
"
, 11 mar, 2014 15h48 
 ,
, 11 mar, 2014 15h48 
",11:03-OFERTAS DISPONIVEIS NO BANCO DE TITULOS CBLC-BTC-5 15:45,3233084
"
, 11 mar, 2014 15h48 
 ,
, 11 mar, 2014 15h48 
",11:03-OFERTAS DISPONIVEIS NO BANCO DE TITULOS CBLC-BTC-7 15:45,3233086
