date,title,index
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de FIBR3 prorrogado ate as 17:06:00,3908649
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de WEGE3F prorrogado ate as 17:06:00,3908652
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de CTIP3 prorrogado ate as 17:06:00,3908653
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de CMIG4F prorrogado ate as 17:06:00,3908654
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de RLOG3 prorrogado ate as 17:06:00,3908648
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de CTKA4 prorrogado ate as 17:06:00,3908651
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de USIM3 prorrogado ate as 17:06:00,3908656
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de ARTR3 prorrogado ate as 17:06:00,3908655
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de BRML3 prorrogado ate as 17:06:00,3908662
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de ITSA2 prorrogado ate as 17:06:00,3908650
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de PSSA3 prorrogado ate as 17:06:00,3908657
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de EVEN3 prorrogado ate as 17:06:00,3908661
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de VIVT4 prorrogado ate as 17:06:00,3908660
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de GFSA3 prorrogado ate as 17:06:00,3908663
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de DTEX3 prorrogado ate as 17:06:00,3908659
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de PETR3 prorrogado ate as 17:06:00,3908658
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de FHER3 prorrogado ate as 17:06:00,3908666
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de ENBR3 prorrogado ate as 17:06:00,3908668
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de ELET6 prorrogado ate as 17:06:00,3908667
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de FRIO3 prorrogado ate as 17:06:00,3908672
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de LAME4 prorrogado ate as 17:06:00,3908670
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de RSID3 prorrogado ate as 17:06:00,3908664
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de CSMG3 prorrogado ate as 17:06:00,3908674
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de TIMP3F prorrogado ate as 17:06:00,3908665
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de GGBR3 prorrogado ate as 17:06:00,3908673
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de TECN3 prorrogado ate as 17:06:00,3908677
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de ECOR3 prorrogado ate as 17:06:00,3908671
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de TAEE11 prorrogado ate as 17:06:00,3908675
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de RDNI3 prorrogado ate as 17:06:00,3908678
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de BRIN3 prorrogado ate as 17:06:00,3908676
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de SANB11 prorrogado ate as 17:06:00,3908669
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de SSBR3 prorrogado ate as 17:06:00,3908679
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de PMAM3 prorrogado ate as 17:06:00,3908680
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de RPMG3 prorrogado ate as 17:06:00,3908684
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de TGMA3 prorrogado ate as 17:06:00,3908682
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de CTAX11 prorrogado ate as 17:06:00,3908683
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de CCXC3 prorrogado ate as 17:06:00,3908681
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de JRDM11B prorrogado ate as 17:06:00,3908688
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de RBGS11 prorrogado ate as 17:06:00,3908687
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de EMBR3 prorrogado ate as 17:06:00,3908691
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de PCAR4 prorrogado ate as 17:06:00,3908693
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de BBAS3 prorrogado ate as 17:06:00,3908685
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de CIEL3 prorrogado ate as 17:06:00,3908690
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de OIBR4 prorrogado ate as 17:06:00,3908692
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de BBFI11B prorrogado ate as 17:06:00,3908686
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de ABRE3 prorrogado ate as 17:06:00,3908697
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de GETI4F prorrogado ate as 17:06:00,3908689
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de INET3 prorrogado ate as 17:06:00,3908695
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de CIEL3F prorrogado ate as 17:06:00,3908694
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de EQTL3 prorrogado ate as 17:06:00,3908698
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de BBRK3 prorrogado ate as 17:06:00,3908701
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de BEMA3 prorrogado ate as 17:06:00,3908696
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de LAME3 prorrogado ate as 17:06:00,3908699
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de GSHP3 prorrogado ate as 17:06:00,3908700
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de IGTA3F prorrogado ate as 17:06:00,3908706
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de LAME4F prorrogado ate as 17:06:00,3908705
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de SUZB5F prorrogado ate as 17:06:00,3908703
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",ATENCAO PARA O PRECO DE VALEO24,3908702
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de FLRY3 prorrogado ate as 17:06:00,3908704
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de CESP6F prorrogado ate as 17:06:00,3908709
"
, 09 mar, 2015 17h05 
 ,
, 09 mar, 2015 17h05 
",Call de BRKM5F prorrogado ate as 17:06:00,3908708
