date,title,index
"
, 05 jun, 2015 17h06 
 ,
, 05 jun, 2015 17h06 
",Call de SANB11 prorrogado ate as 17:07:00,4087960
"
, 05 jun, 2015 17h06 
 ,
, 05 jun, 2015 17h06 
",Call de BBSE3 prorrogado ate as 17:07:00,4087967
"
, 05 jun, 2015 17h06 
 ,
, 05 jun, 2015 17h06 
",Call de GOLL4 prorrogado ate as 17:07:00,4087965
"
, 05 jun, 2015 17h06 
 ,
, 05 jun, 2015 17h06 
",Call de MEAL3 prorrogado ate as 17:07:00,4087963
"
, 05 jun, 2015 17h06 
 ,
, 05 jun, 2015 17h06 
",Call de GGBR4 prorrogado ate as 17:07:00,4087966
"
, 05 jun, 2015 17h06 
 ,
, 05 jun, 2015 17h06 
",Call de HGTX3 prorrogado ate as 17:07:00,4087964
"
, 05 jun, 2015 17h06 
 ,
, 05 jun, 2015 17h06 
",Call de PSSA3 prorrogado ate as 17:07:00,4087968
"
, 05 jun, 2015 17h06 
 ,
, 05 jun, 2015 17h06 
",ATENCAO PARA O PRECO VALEG19,4087975
"
, 05 jun, 2015 17h06 
 ,
, 05 jun, 2015 17h06 
",Call de USIM5 prorrogado ate as 17:07:00,4087962
"
, 05 jun, 2015 17h06 
 ,
, 05 jun, 2015 17h06 
",Call de SMTO3 prorrogado ate as 17:07:00,4087961
"
, 05 jun, 2015 17h06 
 ,
, 05 jun, 2015 17h06 
",Call de BRIV4 prorrogado ate as 17:08:00,4087971
"
, 05 jun, 2015 17h06 
 ,
, 05 jun, 2015 17h06 
",Call de KLBN11 prorrogado ate as 17:08:00,4087972
"
, 05 jun, 2015 17h06 
 ,
, 05 jun, 2015 17h06 
",Call de TECN3 prorrogado ate as 17:07:00,4087969
"
, 05 jun, 2015 17h06 
 ,
, 05 jun, 2015 17h06 
","(LIXC4)- ATENCAO PARA O CALL - PRECO R$ 3,54",4087974
"
, 05 jun, 2015 17h06 
 ,
, 05 jun, 2015 17h06 
",Call de RADL3 prorrogado ate as 17:07:00,4087970
"
, 05 jun, 2015 17h06 
 ,
, 05 jun, 2015 17h06 
","(LIXC4)- ATENCAO PARA O CALL - PRECO R$ 3,54",4087973
"
, 05 jun, 2015 17h07 
 ,
, 05 jun, 2015 17h07 
",Call de TRIS3 prorrogado ate as 17:08:00,4087979
"
, 05 jun, 2015 17h06 
 ,
, 05 jun, 2015 17h06 
",Call de USIM3 prorrogado ate as 17:08:00,4087977
"
, 05 jun, 2015 17h07 
 ,
, 05 jun, 2015 17h07 
",Call de VALE5 prorrogado ate as 17:08:00,4087983
"
, 05 jun, 2015 17h07 
 ,
, 05 jun, 2015 17h07 
",Call de BVMF3 prorrogado ate as 17:08:00,4087982
"
, 05 jun, 2015 17h06 
 ,
, 05 jun, 2015 17h06 
","(LIXC4)- ATENCAO PARA O CALL - PRECO R$ 3,54",4087976
"
, 05 jun, 2015 17h06 
 ,
, 05 jun, 2015 17h06 
",Call de CPLE3 prorrogado ate as 17:08:00,4087978
"
, 05 jun, 2015 17h07 
 ,
, 05 jun, 2015 17h07 
",Call de PRBC4 prorrogado ate as 17:08:00,4087987
"
, 05 jun, 2015 17h07 
 ,
, 05 jun, 2015 17h07 
",Call de CZLT33 prorrogado ate as 17:08:00,4087981
"
, 05 jun, 2015 17h07 
 ,
, 05 jun, 2015 17h07 
",Call de ITSA4 prorrogado ate as 17:08:00,4087985
"
, 05 jun, 2015 17h07 
 ,
, 05 jun, 2015 17h07 
",Call de CIEL3 prorrogado ate as 17:08:00,4087984
"
, 05 jun, 2015 17h07 
 ,
, 05 jun, 2015 17h07 
",ATENCAO PARA O PRECO DE VALEG19,4087980
"
, 05 jun, 2015 17h07 
 ,
, 05 jun, 2015 17h07 
",Call de RUMO3 prorrogado ate as 17:08:00,4087988
"
, 05 jun, 2015 17h07 
 ,
, 05 jun, 2015 17h07 
",Call de LAME3 prorrogado ate as 17:08:00,4087990
"
, 05 jun, 2015 17h07 
 ,
, 05 jun, 2015 17h07 
",Call de GFSA3 prorrogado ate as 17:08:00,4087991
"
, 05 jun, 2015 17h07 
 ,
, 05 jun, 2015 17h07 
",Call de ITUB4 prorrogado ate as 17:08:00,4087986
"
, 05 jun, 2015 17h07 
 ,
, 05 jun, 2015 17h07 
",Call de PETR4 prorrogado ate as 17:08:00,4087989
"
, 05 jun, 2015 17h07 
 ,
, 05 jun, 2015 17h07 
",Call de BPAN4 prorrogado ate as 17:08:00,4087992
"
, 05 jun, 2015 17h07 
 ,
, 05 jun, 2015 17h07 
",Call de OGXP3 prorrogado ate as 17:08:00,4087994
"
, 05 jun, 2015 17h07 
 ,
, 05 jun, 2015 17h07 
",Call de BRFS3 prorrogado ate as 17:08:00,4087996
"
, 05 jun, 2015 17h07 
 ,
, 05 jun, 2015 17h07 
",Call de SUZB5 prorrogado ate as 17:08:00,4087993
"
, 05 jun, 2015 17h07 
 ,
, 05 jun, 2015 17h07 
",Call de PSSA3 prorrogado ate as 17:08:00,4088002
"
, 05 jun, 2015 17h07 
 ,
, 05 jun, 2015 17h07 
",Call de BBSE3 prorrogado ate as 17:08:00,4087995
"
, 05 jun, 2015 17h07 
 ,
, 05 jun, 2015 17h07 
",Call de BRIN3 prorrogado ate as 17:08:00,4087997
"
, 05 jun, 2015 17h07 
 ,
, 05 jun, 2015 17h07 
",Call de CVCB3 prorrogado ate as 17:08:00,4087998
"
, 05 jun, 2015 17h07 
 ,
, 05 jun, 2015 17h07 
",Call de STBP11 prorrogado ate as 17:08:00,4088001
"
, 05 jun, 2015 17h07 
 ,
, 05 jun, 2015 17h07 
",Call de USIM5 prorrogado ate as 17:08:00,4087999
"
, 05 jun, 2015 17h07 
 ,
, 05 jun, 2015 17h07 
",Call de CCRO3 prorrogado ate as 17:08:00,4088005
"
, 05 jun, 2015 17h07 
 ,
, 05 jun, 2015 17h07 
",Call de PNVL3 prorrogado ate as 17:08:00,4088003
"
, 05 jun, 2015 17h07 
 ,
, 05 jun, 2015 17h07 
",Call de TCSA3 prorrogado ate as 17:08:00,4088007
"
, 05 jun, 2015 17h07 
 ,
, 05 jun, 2015 17h07 
",Call de ODPV3 prorrogado ate as 17:08:00,4088000
"
, 05 jun, 2015 17h07 
 ,
, 05 jun, 2015 17h07 
",Call de LLIS3 prorrogado ate as 17:08:00,4088004
"
, 05 jun, 2015 17h07 
 ,
, 05 jun, 2015 17h07 
",Call de HGTX3 prorrogado ate as 17:08:00,4088006
"
, 05 jun, 2015 17h07 
 ,
, 05 jun, 2015 17h07 
",Call de SMTO3 prorrogado ate as 17:08:00,4088011
"
, 05 jun, 2015 17h07 
 ,
, 05 jun, 2015 17h07 
",Call de GETI3 prorrogado ate as 17:08:00,4088009
"
, 05 jun, 2015 17h07 
 ,
, 05 jun, 2015 17h07 
",Call de ESTC3 prorrogado ate as 17:08:00,4088008
"
, 05 jun, 2015 17h07 
 ,
, 05 jun, 2015 17h07 
",Call de IGTA3 prorrogado ate as 17:08:00,4088010
"
, 05 jun, 2015 17h07 
 ,
, 05 jun, 2015 17h07 
",Call de ALSC3 prorrogado ate as 17:08:00,4088014
"
, 05 jun, 2015 17h07 
 ,
, 05 jun, 2015 17h07 
",Call de LAME4 prorrogado ate as 17:08:00,4088015
"
, 05 jun, 2015 17h07 
 ,
, 05 jun, 2015 17h07 
",Call de PARC3 prorrogado ate as 17:08:00,4088017
"
, 05 jun, 2015 17h07 
 ,
, 05 jun, 2015 17h07 
",Call de QGEP3 prorrogado ate as 17:08:00,4088012
"
, 05 jun, 2015 17h07 
 ,
, 05 jun, 2015 17h07 
",Call de ALPA4 prorrogado ate as 17:08:00,4088013
"
, 05 jun, 2015 17h07 
 ,
, 05 jun, 2015 17h07 
",Call de TECN3 prorrogado ate as 17:08:00,4088016
"
, 05 jun, 2015 17h07 
 ,
, 05 jun, 2015 17h07 
",Call de BRAP4 prorrogado ate as 17:08:00,4088020
"
, 05 jun, 2015 17h07 
 ,
, 05 jun, 2015 17h07 
",Call de EVEN3 prorrogado ate as 17:08:00,4088018
"
, 05 jun, 2015 17h07 
 ,
, 05 jun, 2015 17h07 
",ATENCAO PARA O PRECO VALEG19,4088023
"
, 05 jun, 2015 17h07 
 ,
, 05 jun, 2015 17h07 
",Call de MRVE3 prorrogado ate as 17:08:00,4088019
"
, 05 jun, 2015 17h07 
 ,
, 05 jun, 2015 17h07 
",Call de ENBR3 prorrogado ate as 17:08:00,4088021
"
, 05 jun, 2015 17h07 
 ,
, 05 jun, 2015 17h07 
",Call de NATU3 prorrogado ate as 17:08:00,4088022
"
, 05 jun, 2015 17h08 
 ,
, 05 jun, 2015 17h08 
",ATENCAO PARA O PRECO DE VALEG19,4088027
"
, 05 jun, 2015 17h08 
 ,
, 05 jun, 2015 17h08 
",Call de BRIV4 prorrogado ate as 17:09:00,4088025
"
, 05 jun, 2015 17h08 
 ,
, 05 jun, 2015 17h08 
",Call de KLBN11 prorrogado ate as 17:09:00,4088028
"
, 05 jun, 2015 17h08 
 ,
, 05 jun, 2015 17h08 
",Call de ALPA4 prorrogado ate as 17:09:00,4088035
"
, 05 jun, 2015 17h08 
 ,
, 05 jun, 2015 17h08 
",Call de CZLT33 prorrogado ate as 17:09:00,4088029
"
, 05 jun, 2015 17h08 
 ,
, 05 jun, 2015 17h08 
",Call de OGXP3 prorrogado ate as 17:09:00,4088031
"
, 05 jun, 2015 17h08 
 ,
, 05 jun, 2015 17h08 
",Call de USIM3 prorrogado ate as 17:09:00,4088024
"
, 05 jun, 2015 17h08 
 ,
, 05 jun, 2015 17h08 
",Call de CPLE3 prorrogado ate as 17:09:00,4088026
"
, 05 jun, 2015 17h08 
 ,
, 05 jun, 2015 17h08 
",Call de GETI3 prorrogado ate as 17:09:00,4088034
"
, 05 jun, 2015 17h08 
 ,
, 05 jun, 2015 17h08 
",Call de BVMF3 prorrogado ate as 17:09:00,4088033
"
, 05 jun, 2015 17h08 
 ,
, 05 jun, 2015 17h08 
",Call de SUZB5 prorrogado ate as 17:09:00,4088037
"
, 05 jun, 2015 17h08 
 ,
, 05 jun, 2015 17h08 
",Call de TECN3 prorrogado ate as 17:09:00,4088038
"
, 05 jun, 2015 17h08 
 ,
, 05 jun, 2015 17h08 
",Call de BPAN4 prorrogado ate as 17:09:00,4088036
"
, 05 jun, 2015 17h08 
 ,
, 05 jun, 2015 17h08 
",Call de RUMO3 prorrogado ate as 17:09:00,4088030
"
, 05 jun, 2015 17h08 
 ,
, 05 jun, 2015 17h08 
",Call de ITSA4 prorrogado ate as 17:09:00,4088032
"
, 05 jun, 2015 17h08 
 ,
, 05 jun, 2015 17h08 
",Call de LLIS3 prorrogado ate as 17:09:00,4088041
"
, 05 jun, 2015 17h08 
 ,
, 05 jun, 2015 17h08 
",Call de BRFS3 prorrogado ate as 17:09:00,4088042
"
, 05 jun, 2015 17h08 
 ,
, 05 jun, 2015 17h08 
",Call de CCRO3 prorrogado ate as 17:09:00,4088039
"
, 05 jun, 2015 17h08 
 ,
, 05 jun, 2015 17h08 
",Call de PSSA3 prorrogado ate as 17:09:00,4088043
"
, 05 jun, 2015 17h08 
 ,
, 05 jun, 2015 17h08 
",Call de PNVL3 prorrogado ate as 17:09:00,4088040
"
, 05 jun, 2015 17h08 
 ,
, 05 jun, 2015 17h08 
",Call de ODPV3 prorrogado ate as 17:09:00,4088044
"
, 05 jun, 2015 17h08 
 ,
, 05 jun, 2015 17h08 
",Call de IGTA3 prorrogado ate as 17:09:00,4088047
"
, 05 jun, 2015 17h08 
 ,
, 05 jun, 2015 17h08 
",Call de STBP11 prorrogado ate as 17:09:00,4088048
"
, 05 jun, 2015 17h08 
 ,
, 05 jun, 2015 17h08 
",Call de ITUB4 prorrogado ate as 17:09:00,4088046
"
, 05 jun, 2015 17h08 
 ,
, 05 jun, 2015 17h08 
",Call de PETR4 prorrogado ate as 17:09:00,4088045
"
, 05 jun, 2015 17h08 
 ,
, 05 jun, 2015 17h08 
",Call de HGTX3 prorrogado ate as 17:09:00,4088049
"
, 05 jun, 2015 17h08 
 ,
, 05 jun, 2015 17h08 
",Call de BRIN3 prorrogado ate as 17:09:00,4088051
"
, 05 jun, 2015 17h08 
 ,
, 05 jun, 2015 17h08 
",Call de EVEN3 prorrogado ate as 17:09:00,4088050
"
, 05 jun, 2015 17h08 
 ,
, 05 jun, 2015 17h08 
",Call de ENBR3 prorrogado ate as 17:09:00,4088053
"
, 05 jun, 2015 17h08 
 ,
, 05 jun, 2015 17h08 
",Call de TCSA3 prorrogado ate as 17:09:00,4088052
